image_file,width,height,aspect_ratio,rms_contrast,lightness_entropy,complexity,edge_density,mean_L,mean_a,mean_b,color_entropy,mirror_symmetry,balance,fourier_slope,eoe_1st,eoe_2nd,ssim,lpips,lab_ok,rms_ok,edge_ok,eoe_ok,color_entropy_ok,fourier_ok,symmetry_ok,balance_ok,compliance_pct,img_file
68371_309034.jpeg,624,,1.0,10.785,,2.179,22.919,95.597,-0.08927,4.591,1.88,0.5097,42.312,,3.712,0.001256,,,False,False,False,False,False,False,True,False,12.5,68371_309034.jpeg
68372_309037.jpeg,624,,1.0,16.488,,3.66,32.667,90.765,2.975,9.51,1.813,14.09,43.724,,3.882,0.001191,,,True,True,False,False,False,False,False,False,25.0,68372_309037.jpeg
68376_309190.jpeg,900,,1.0,17.879,,4.109,48.109,89.587,-4.541,2.865,3.035,10.331,38.444,,3.853,0.001025,,,False,True,False,False,True,False,False,False,25.0,68376_309190.jpeg
68377_309191.jpeg,900,,1.0,17.879,,4.109,48.109,89.587,-4.541,2.865,3.035,10.331,38.444,,3.853,0.001025,,,False,True,False,False,True,False,False,False,25.0,68377_309191.jpeg
68378_309192.jpeg,900,,1.0,15.718,,2.513,37.472,91.936,3.746,10.342,2.858,4.566,34.592,,3.988,0.00113,,,True,True,False,False,False,False,True,False,37.5,68378_309192.jpeg
68386_194693.jpg,1029,,0.7772,12.971,,3.475,41.199,82.843,6.215,11.129,4.418,21.168,19.843,,4.334,0.000815,,,False,False,False,True,True,False,False,True,37.5,68386_194693.jpg
68465_376151.jpg,2000,,1.0,25.77,,7.634,156.275,57.476,20.149,27.742,5.87,29.614,7.795,,4.482,0.0001617,,,False,True,False,True,True,False,False,True,50.0,68465_376151.jpg
68465_376152.jpg,2000,,1.0,26.891,,6.897,126.785,64.377,20.352,20.063,5.453,25.984,16.688,,4.512,0.00037,,,False,True,False,True,True,False,False,True,50.0,68465_376152.jpg
68465_376153.jpg,2000,,1.0,18.981,,4.189,59.802,86.971,7.074,8.106,3.746,11.09,29.428,,4.442,0.0008634,,,False,True,False,True,True,False,False,False,37.5,68465_376153.jpg
68465_376154.jpg,2000,,1.0,17.223,,2.969,44.854,88.813,4.746,5.665,3.538,5.851,23.641,,4.464,0.0009813,,,False,True,False,True,True,False,False,False,37.5,68465_376154.jpg
